year;month;decimal date;monthly average;de-season alized;ndays;st. dev of days;unc. of mon mean
1973;5;19.733.699;332.48;329.54;-1;-9.99;-0.99
1973;6;19.734.548;332.07;329.84;-1;-9.99;-0.99
1973;7;19.735.370;330.87;330.15;-1;-9.99;-0.99
1973;8;19.736.219;329.31;330.63;-1;-9.99;-0.99
1973;9;19.737.068;327.51;330.55;-1;-9.99;-0.99
1973;10;19.737.890;327.18;330.32;-1;-9.99;-0.99
1973;11;19.738.740;328.16;330.13;-1;-9.99;-0.99
1973;12;19.739.562;328.64;329.45;-1;-9.99;-0.99
1974;1;19.740.411;329.35;329.32;-1;-9.99;-0.99
1974;2;19.741.260;330.71;330.05;-1;-9.99;-0.99
1974;3;19.742.027;331.48;330.14;-1;-9.99;-0.99
1974;4;19.742.877;332.65;330.22;-1;-9.99;-0.99
1974;5;19.743.750;333.18;330.21;13;0.31;0.16
1974;6;19.744.583;332.20;329.79;25;0.37;0.14
1974;7;19.745.417;331.07;330.21;24;0.24;0.09
1974;8;19.746.250;329.15;330.54;26;0.31;0.12
1974;9;19.747.083;327.33;330.44;22;0.47;0.19
1974;10;19.747.917;327.28;330.53;24;0.22;0.09
1974;11;19.748.750;328.31;330.50;26;0.43;0.16
1974;12;19.749.583;329.58;330.55;29;0.29;0.10
1975;1;19.750.417;330.73;330.84;29;0.43;0.15
1975;2;19.751.250;331.46;330.85;26;0.46;0.17
1975;3;19.752.083;331.94;330.37;17;0.33;0.15
1975;4;19.752.917;333.11;330.53;23;0.59;0.24
1975;5;19.753.750;333.95;330.98;28;0.35;0.13
1975;6;19.754.583;333.42;331.01;27;0.48;0.18
1975;7;19.755.417;331.97;331.12;24;0.45;0.18
1975;8;19.756.250;329.95;331.33;24;0.47;0.18
1975;9;19.757.083;328.50;331.60;22;0.53;0.22
1975;10;19.757.917;328.36;331.61;11;0.21;0.12
1975;11;19.758.750;329.38;331.57;18;0.31;0.14
1975;12;19.759.583;330.75;331.72;-1;-9.99;0.00
1976;1;19.760.417;331.56;331.67;19;0.23;0.10
1976;2;19.761.250;332.74;332.13;22;0.49;0.20
1976;3;19.762.083;333.36;331.78;18;0.52;0.23
1976;4;19.762.917;334.74;332.16;18;0.77;0.35
1976;5;19.763.750;334.72;331.75;21;0.56;0.23
1976;6;19.764.583;333.98;331.56;15;0.21;0.10
1976;7;19.765.417;333.08;332.23;15;0.24;0.12
1976;8;19.766.250;330.68;332.07;23;0.51;0.20
1976;9;19.767.083;328.96;332.07;13;0.69;0.37
1976;10;19.767.917;328.72;331.97;19;0.57;0.25
1976;11;19.768.750;330.16;332.35;25;0.36;0.14
1976;12;19.769.583;331.62;332.59;20;0.38;0.16
1977;1;19.770.417;332.68;332.77;23;0.40;0.16
1977;2;19.771.250;333.17;332.58;20;0.34;0.15
1977;3;19.772.083;334.96;333.40;23;0.51;0.21
1977;4;19.772.917;336.14;333.54;20;0.50;0.21
1977;5;19.773.750;336.93;333.99;20;0.31;0.13
1977;6;19.774.583;336.17;333.79;22;0.40;0.16
1977;7;19.775.417;334.89;334.01;20;0.23;0.10
1977;8;19.776.250;332.56;333.91;18;0.46;0.21
1977;9;19.777.083;331.29;334.36;19;0.46;0.20
1977;10;19.777.917;331.28;334.51;23;0.29;0.12
1977;11;19.778.750;332.46;334.69;21;0.43;0.18
1977;12;19.779.583;333.60;334.58;25;0.36;0.14
1978;1;19.780.417;334.94;335.01;22;0.52;0.21
1978;2;19.781.250;335.26;334.60;25;0.50;0.19
1978;3;19.782.083;336.66;335.00;28;0.59;0.21
1978;4;19.782.917;337.69;335.07;18;0.44;0.20
1978;5;19.783.750;338.02;335.08;26;0.46;0.17
1978;6;19.784.583;338.01;335.60;17;0.31;0.15
1978;7;19.785.417;336.50;335.65;20;0.32;0.14
1978;8;19.786.250;334.42;335.87;19;0.32;0.14
1978;9;19.787.083;332.36;335.51;17;0.75;0.35
1978;10;19.787.917;332.45;335.72;21;0.34;0.14
1978;11;19.788.750;333.76;335.99;24;0.25;0.10
1978;12;19.789.583;334.91;335.88;26;0.33;0.12
1979;1;19.790.417;336.14;336.22;27;0.55;0.20
1979;2;19.791.250;336.69;336.00;25;0.30;0.11
1979;3;19.792.083;338.27;336.56;21;0.63;0.26
1979;4;19.792.917;338.82;336.11;24;0.67;0.26
1979;5;19.793.750;339.24;336.24;20;0.50;0.22
1979;6;19.794.583;339.26;336.83;19;0.35;0.15
1979;7;19.795.417;337.54;336.69;26;0.59;0.22
1979;8;19.796.250;335.72;337.20;24;0.60;0.23
1979;9;19.797.083;333.97;337.19;19;0.65;0.29
1979;10;19.797.917;334.24;337.57;25;0.42;0.16
1979;11;19.798.750;335.32;337.59;27;0.30;0.11
1979;12;19.799.583;336.81;337.83;22;0.23;0.09
1980;1;19.800.417;337.90;338.13;29;0.57;0.20
1980;2;19.801.250;338.34;337.85;26;0.49;0.18
1980;3;19.802.083;340.07;338.51;23;0.54;0.22
1980;4;19.802.917;340.93;338.31;24;0.29;0.11
1980;5;19.803.750;341.45;338.40;24;0.54;0.21
1980;6;19.804.583;341.36;338.85;20;0.39;0.17
1980;7;19.805.417;339.45;338.56;26;0.60;0.22
1980;8;19.806.250;337.67;339.07;16;1.05;0.50
1980;9;19.807.083;336.25;339.38;15;0.69;0.34
1980;10;19.807.917;336.14;339.40;26;0.26;0.10
1980;11;19.808.750;337.30;339.46;27;0.26;0.10
1980;12;19.809.583;338.29;339.26;24;0.25;0.10
1981;1;19.810.417;339.29;339.42;28;0.39;0.14
1981;2;19.811.250;340.55;339.98;25;0.65;0.25
1981;3;19.812.083;341.63;340.08;25;0.48;0.19
1981;4;19.812.917;342.60;339.98;26;0.46;0.17
1981;5;19.813.750;343.04;339.97;30;0.19;0.07
1981;6;19.814.583;342.54;340.06;25;0.29;0.11
1981;7;19.815.417;340.82;339.92;24;0.46;0.18
1981;8;19.816.250;338.48;339.87;25;0.48;0.18
1981;9;19.817.083;336.95;340.17;27;0.55;0.20
1981;10;19.817.917;337.05;340.39;25;0.39;0.15
1981;11;19.818.750;338.57;340.75;26;0.31;0.12
1981;12;19.819.583;339.91;340.85;20;0.28;0.12
1982;1;19.820.417;340.93;341.09;28;0.30;0.11
1982;2;19.821.250;341.76;341.16;24;0.49;0.19
1982;3;19.822.083;342.77;341.18;17;0.41;0.19
1982;4;19.822.917;343.96;341.32;7;0.42;0.31
1982;5;19.823.750;344.77;341.67;27;0.37;0.14
1982;6;19.824.583;343.88;341.43;27;0.37;0.14
1982;7;19.825.417;342.42;341.61;28;0.35;0.13
1982;8;19.826.250;340.24;341.64;25;0.61;0.23
1982;9;19.827.083;338.38;341.56;21;0.59;0.25
1982;10;19.827.917;338.41;341.77;26;0.50;0.19
1982;11;19.828.750;339.44;341.59;24;0.39;0.15
1982;12;19.829.583;340.78;341.71;26;0.30;0.11
1983;1;19.830.417;341.57;341.75;28;0.47;0.17
1983;2;19.831.250;342.79;342.25;24;0.37;0.15
1983;3;19.832.083;343.37;341.85;27;0.88;0.32
1983;4;19.832.917;345.39;342.76;23;0.29;0.12
1983;5;19.833.750;346.14;342.97;28;0.51;0.19
1983;6;19.834.583;345.76;343.30;20;0.30;0.13
1983;7;19.835.417;344.32;343.56;22;0.57;0.23
1983;8;19.836.250;342.51;343.89;16;0.73;0.35
1983;9;19.837.083;340.46;343.59;15;0.50;0.25
1983;10;19.837.917;340.53;343.86;20;0.31;0.13
1983;11;19.838.750;341.79;343.92;27;0.33;0.12
1983;12;19.839.583;343.20;344.12;21;0.25;0.10
1984;1;19.840.417;344.21;344.32;23;0.40;0.16
1984;2;19.841.250;344.92;344.39;23;0.32;0.13
1984;3;19.842.083;345.68;344.26;19;0.30;0.13
1984;4;19.842.917;347.38;344.75;2;-9.99;0.00
1984;5;19.843.750;347.78;344.59;20;0.42;0.18
1984;6;19.844.583;347.16;344.73;20;0.31;0.13
1984;7;19.845.417;345.79;345.02;18;0.33;0.15
1984;8;19.846.250;343.74;345.12;12;0.45;0.25
1984;9;19.847.083;341.59;344.76;14;0.72;0.37
1984;10;19.847.917;341.86;345.19;12;0.36;0.20
1984;11;19.848.750;343.31;345.41;18;0.41;0.19
1984;12;19.849.583;345.00;345.88;14;0.53;0.27
1985;1;19.850.417;345.48;345.59;25;0.38;0.14
1985;2;19.851.250;346.41;345.92;15;0.37;0.18
1985;3;19.852.083;347.91;346.56;17;0.34;0.16
1985;4;19.852.917;348.66;346.08;21;0.61;0.25
1985;5;19.853.750;349.28;346.12;20;0.51;0.22
1985;6;19.854.583;348.65;346.23;21;0.34;0.14
1985;7;19.855.417;346.90;346.08;17;0.36;0.17
1985;8;19.856.250;345.26;346.57;16;0.57;0.27
1985;9;19.857.083;343.47;346.59;24;0.57;0.22
1985;10;19.857.917;343.35;346.60;20;0.29;0.13
1985;11;19.858.750;344.73;346.82;21;0.40;0.17
1985;12;19.859.583;346.12;347.04;26;0.62;0.23
1986;1;19.860.417;346.78;346.82;25;0.31;0.12
1986;2;19.861.250;347.48;346.98;25;0.45;0.17
1986;3;19.862.083;348.25;346.93;16;0.70;0.34
1986;4;19.862.917;349.86;347.29;19;0.38;0.17
1986;5;19.863.750;350.52;347.41;18;0.31;0.14
1986;6;19.864.583;349.98;347.61;17;0.25;0.11
1986;7;19.865.417;348.25;347.43;20;0.47;0.20
1986;8;19.866.250;346.17;347.51;18;0.48;0.21
1986;9;19.867.083;345.48;348.62;17;0.63;0.29
1986;10;19.867.917;344.82;348.04;25;0.32;0.12
1986;11;19.868.750;346.22;348.28;21;0.30;0.13
1986;12;19.869.583;347.48;348.36;24;0.35;0.14
1987;1;19.870.417;348.73;348.66;25;0.46;0.17
1987;2;19.871.250;348.92;348.24;25;0.58;0.22
1987;3;19.872.083;349.81;348.39;21;0.35;0.15
1987;4;19.872.917;351.40;348.84;26;0.68;0.25
1987;5;19.873.750;352.15;349.09;28;0.37;0.13
1987;6;19.874.583;351.58;349.29;22;0.21;0.09
1987;7;19.875.417;350.21;349.51;17;0.73;0.34
1987;8;19.876.250;348.20;349.65;15;0.85;0.42
1987;9;19.877.083;346.66;349.85;23;0.61;0.24
1987;10;19.877.917;346.72;349.96;22;0.41;0.17
1987;11;19.878.750;348.08;350.15;23;0.33;0.13
1987;12;19.879.583;349.28;350.14;27;0.20;0.08
1988;1;19.880.417;350.51;350.49;24;0.21;0.08
1988;2;19.881.250;351.70;351.00;23;0.57;0.23
1988;3;19.882.083;352.50;350.99;25;0.78;0.30
1988;4;19.882.917;353.67;351.03;27;0.48;0.18
1988;5;19.883.750;354.35;351.22;28;0.37;0.13
1988;6;19.884.583;353.88;351.55;26;0.30;0.11
1988;7;19.885.417;352.80;352.15;27;0.49;0.18
1988;8;19.886.250;350.49;352.01;26;0.62;0.23
1988;9;19.887.083;348.97;352.18;26;0.47;0.18
1988;10;19.887.917;349.37;352.62;26;0.31;0.12
1988;11;19.888.750;350.43;352.53;25;0.20;0.08
1988;12;19.889.583;351.62;352.52;28;0.36;0.13
1989;1;19.890.417;353.07;352.99;28;0.45;0.16
1989;2;19.891.250;353.43;352.69;25;0.38;0.15
1989;3;19.892.083;354.08;352.60;29;0.53;0.19
1989;4;19.892.917;355.72;353.07;28;0.47;0.17
1989;5;19.893.750;355.95;352.78;27;0.49;0.18
1989;6;19.894.583;355.44;353.06;26;0.42;0.16
1989;7;19.895.417;354.05;353.38;26;0.41;0.15
1989;8;19.896.250;351.84;353.43;25;0.48;0.18
1989;9;19.897.083;350.09;353.37;24;0.69;0.27
1989;10;19.897.917;350.33;353.57;25;0.34;0.13
1989;11;19.898.750;351.55;353.68;27;0.36;0.13
1989;12;19.899.583;352.91;353.84;27;0.48;0.18
1990;1;19.900.417;353.86;353.78;25;0.34;0.13
1990;2;19.901.250;355.10;354.37;28;0.66;0.24
1990;3;19.902.083;355.75;354.27;27;0.57;0.21
1990;4;19.902.917;356.38;353.76;28;0.55;0.20
1990;5;19.903.750;357.38;354.23;28;0.30;0.11
1990;6;19.904.583;356.39;354.02;29;0.40;0.14
1990;7;19.905.417;354.89;354.24;30;0.89;0.31
1990;8;19.906.250;353.06;354.68;22;0.62;0.25
1990;9;19.907.083;351.38;354.69;27;0.72;0.26
1990;10;19.907.917;351.69;354.94;28;0.30;0.11
1990;11;19.908.750;353.14;355.18;24;0.20;0.08
1990;12;19.909.583;354.41;355.26;28;0.51;0.19
1991;1;19.910.417;354.93;354.90;28;0.51;0.18
1991;2;19.911.250;355.82;355.11;26;0.54;0.20
1991;3;19.912.083;357.33;355.79;30;0.73;0.25
1991;4;19.912.917;358.77;356.13;30;0.66;0.23
1991;5;19.913.750;359.23;356.10;29;0.52;0.19
1991;6;19.914.583;358.23;355.88;29;0.30;0.11
1991;7;19.915.417;356.30;355.69;24;0.46;0.18
1991;8;19.916.250;353.97;355.59;23;0.39;0.15
1991;9;19.917.083;352.34;355.66;27;0.37;0.14
1991;10;19.917.917;352.43;355.69;27;0.25;0.09
1991;11;19.918.750;353.89;355.87;28;0.25;0.09
1991;12;19.919.583;355.21;356.02;30;0.34;0.12
1992;1;19.920.417;356.34;356.29;31;0.60;0.21
1992;2;19.921.250;357.21;356.47;27;0.56;0.21
1992;3;19.922.083;357.97;356.38;24;0.72;0.28
1992;4;19.922.917;359.22;356.51;27;0.53;0.20
1992;5;19.923.750;359.71;356.52;26;0.74;0.28
1992;6;19.924.583;359.44;357.07;30;0.49;0.17
1992;7;19.925.417;357.15;356.58;25;0.63;0.24
1992;8;19.926.250;354.99;356.67;24;0.62;0.24
1992;9;19.927.083;353.01;356.36;25;0.98;0.38
1992;10;19.927.917;353.41;356.72;29;0.56;0.20
1992;11;19.928.750;354.42;356.48;29;0.34;0.12
1992;12;19.929.583;355.68;356.50;31;0.32;0.11
1993;1;19.930.417;357.10;357.06;28;0.58;0.21
1993;2;19.931.250;357.42;356.54;28;0.49;0.18
1993;3;19.932.083;358.59;356.88;30;0.72;0.25
1993;4;19.932.917;359.39;356.71;25;0.53;0.20
1993;5;19.933.750;360.30;357.14;30;0.45;0.16
1993;6;19.934.583;359.64;357.24;28;0.35;0.13
1993;7;19.935.417;357.45;356.87;25;0.78;0.30
1993;8;19.936.250;355.76;357.44;27;0.62;0.23
1993;9;19.937.083;354.14;357.51;23;0.73;0.29
1993;10;19.937.917;354.23;357.61;28;0.29;0.11
1993;11;19.938.750;355.53;357.65;29;0.26;0.09
1993;12;19.939.583;357.03;357.92;29;0.28;0.10
1994;1;19.940.417;358.36;358.25;27;0.33;0.12
1994;2;19.941.250;359.04;358.21;25;0.50;0.19
1994;3;19.942.083;360.11;358.41;29;0.82;0.29
1994;4;19.942.917;361.36;358.59;28;0.50;0.18
1994;5;19.943.750;361.78;358.59;30;0.45;0.16
1994;6;19.944.583;360.94;358.57;27;0.30;0.11
1994;7;19.945.417;359.51;358.91;31;0.41;0.14
1994;8;19.946.250;357.59;359.29;24;0.43;0.17
1994;9;19.947.083;355.86;359.31;24;0.58;0.23
1994;10;19.947.917;356.21;359.63;28;0.28;0.10
1994;11;19.948.750;357.65;359.80;28;0.51;0.18
1994;12;19.949.583;359.10;359.96;28;0.46;0.17
1995;1;19.950.417;360.04;359.91;30;0.47;0.16
1995;2;19.951.250;361.00;360.18;28;0.52;0.19
1995;3;19.952.083;361.98;360.37;29;0.78;0.28
1995;4;19.952.917;363.44;360.76;29;0.65;0.23
1995;5;19.953.750;363.83;360.72;29;0.66;0.24
1995;6;19.954.583;363.33;360.98;27;0.37;0.14
1995;7;19.955.417;361.78;361.10;28;0.36;0.13
1995;8;19.956.250;359.33;360.93;24;0.70;0.28
1995;9;19.957.083;358.32;361.70;24;0.68;0.26
1995;10;19.957.917;358.14;361.52;29;0.26;0.09
1995;11;19.958.750;359.61;361.75;26;0.24;0.09
1995;12;19.959.583;360.82;361.67;30;0.36;0.12
1996;1;19.960.417;362.20;361.98;29;0.38;0.13
1996;2;19.961.250;363.36;362.47;28;0.55;0.20
1996;3;19.962.083;364.28;362.64;28;0.67;0.24
1996;4;19.962.917;364.69;361.99;29;0.59;0.21
1996;5;19.963.750;365.25;362.23;30;0.57;0.20
1996;6;19.964.583;365.06;362.82;30;0.38;0.13
1996;7;19.965.417;363.69;362.98;31;0.32;0.11
1996;8;19.966.250;361.55;363.13;27;0.49;0.18
1996;9;19.967.083;359.69;363.14;25;0.75;0.29
1996;10;19.967.917;359.72;363.12;29;0.32;0.11
1996;11;19.968.750;361.04;363.18;29;0.29;0.10
1996;12;19.969.583;362.39;363.23;29;0.36;0.13
